"효능및성분별(1)",효능및성분별(2),효능및성분별(3),2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023
"효능및성분별(1)",효능및성분별(2),효능및성분별(3),처방기관수 (개소),처방의사수 (명),환자수 (명),처방건수 (건),처방량 (개/정),처방기관수 (개소),처방의사수 (명),환자수 (명),처방건수 (건),처방량 (개/정),처방기관수 (개소),처방의사수 (명),환자수 (명),처방건수 (건),처방량 (개/정),처방기관수 (개소),처방의사수 (명),환자수 (명),처방건수 (건),처방량 (개/정),처방기관수 (개소),처방의사수 (명),환자수 (명),처방건수 (건),처방량 (개/정)
"최면진정제",향정신성의약품,펜토바르비탈,20,237,812,3368,45246,19,235,626,3998,44574,19,207,629,3520,42399,18,276,677,4421,52451,26,302,685,4138,51955
"최면진정제",향정신성의약품,플루니트라제팜,5247,9746,278851,3259377,46015324,5826,10579,297618,3401883,51579474,6493,11509,317713,3535889,56613295,6988,12601,337280,3632684,61233374,7650,13791,368509,3879743,66947774
"최면진정제",향정신성의약품,플루라제팜,2061,5362,51954,468956,5965086,2064,5031,49732,458189,6070021,2059,4817,47432,445414,6105629,1972,4885,45752,453335,6206780,1865,4457,38850,305892,4267791
"최면진정제",향정신성의약품,잘레플론,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1785,2967,44011,132490,1898686
"마취제",소계,소계,8322,39608,9390652,14116655,20351553,8593,40502,9081471,14382869,20069119,8905,40379,10592814,16715956,22925611,9176,41487,11224351,17639949,24046772,9581,42448,11840834,18564859,25015438
"마취제",마약,소계,1616,23089,2052667,4033375,7208606,1664,23798,2001392,4238011,7085784,1687,23121,2102802,4596434,7549554,1710,23679,2138709,4730933,7560991,1771,23585,2219956,4852935,7619340
"마취제",마약,레미펜타닐,543,13745,753711,1247277,1744909,581,14449,747518,1287133,1758231,588,14272,809149,1477191,2076183,627,14924,829975,1560457,2167853,655,15012,872240,1589373,2159990
"마취제",마약,서펜타닐,55,998,45781,56222,89059,59,1119,40117,50510,80404,62,1443,43881,63631,90333,66,1692,52272,78372,110031,77,2452,67872,102519,151035
"마취제",마약,알펜타닐,23,321,30669,33771,40672,24,327,28976,31885,35059,24,306,29851,32830,35093,25,296,29088,31934,35087,24,270,26891,29666,31954
"마취제",마약,펜타닐(주사제),1589,20066,1791180,2885856,5333966,1633,20084,1755199,2999823,5212090,1660,19546,1838704,3153674,5347945,1680,19687,1859407,3177173,5248020,1730,19167,1915862,3245096,5276361
"마취제",향정신성의약품,소계,8232,34186,8882903,10710649,13142947,8496,34476,8605256,10549539,12983335,8813,35009,10134890,12534825,15376057,9085,36007,10773444,13332694,16485781,9486,36907,11392146,14147019,17396098
"마취제",향정신성의약품,케타민,1791,10343,410143,531309,261415,1944,10421,429554,560738,252938,1998,10668,479701,635177,286321,2103,10706,533440,709066,298859,2265,11135,561414,742448,304801
"마취제",향정신성의약품,티오펜탈,1063,6319,243105,264941,294163,1022,5845,218625,239371,266856,966,5596,208623,228938,255979,890,5081,182924,199757,218865,814,4112,81977,90348,102042
"마취제",향정신성의약품,프로포폴,7666,29575,8505248,10118994,12587368,7905,29915,8250363,9974662,12463540,8229,30612,9775074,11907581,14796310,8495,31675,10384713,12621259,15822874,8890,32877,11027823,13435224,16714546
"마취제",향정신성의약품,레미마졸람(주사제),-,-,-,-,-,-,-,-,-,-,104,712,15023,20024,37447,219,2091,82899,98901,145183,379,3230,171097,205030,274709
"식욕억제제",소계,소계,24544,37905,1307193,6258384,250544576,24723,37309,1309459,6201757,253706272,24457,37020,1268146,5867465,244952097,24225,37542,1205439,5574296,242873243,24128,37867,1143759,5112947,226997378
"식욕억제제",향정신성의약품,소계,24544,37905,1307193,6258384,250544576,24723,37309,1309459,6201757,253706272,24457,37020,1268146,5867465,244952097,24225,37542,1205439,5574296,242873243,24128,37867,1143759,5112947,226997378
"식욕억제제",향정신성의약품,로카세린,6108,9772,47666,113183,4771940,2157,2926,7097,9061,401385,8,8,9,9,427,2,2,3,3,133,-,-,-,-,-
"식욕억제제",향정신성의약품,마진돌,349,404,6272,20017,594273,297,350,4932,14965,447184,230,263,2052,4778,128525,2,2,2,2,87,-,-,-,-,-
"식욕억제제",향정신성의약품,암페프라몬,1433,1844,110674,406541,11705140,1443,1839,119681,410525,14351074,1442,1864,105647,328643,12769083,1324,1793,95994,290516,12804006,1305,1832,80427,233517,10824780
"식욕억제제",향정신성의약품,펜디메트라진,13750,17897,604287,2898072,143555756,13300,17221,599548,2781355,147129234,12713,16529,571625,2558954,147985196,12205,16169,545276,2486375,149881392,11787,15782,517677,2265373,141238894
